Country,Code,Annual greenhouse gas emissions per capita
Afghanistan,AFG,0.95734286
Albania,ALB,2.9245024
Algeria,DZA,6.3651667
Andorra,AND,7.331974
Angola,AGO,6.105549
Antigua and Barbuda,ATG,5.9170275
Argentina,ARG,8.273893
Armenia,ARM,3.87392
Aruba,ABW,8.527013
Australia,AUS,23.244528
Austria,AUT,8.226747
Azerbaijan,AZE,6.6268783
Bahamas,BHS,6.92953
Bahrain,BHR,48.46873
Bangladesh,BGD,1.537347
Barbados,BRB,4.6314564
Belarus,BLR,11.1633
Belgium,BEL,10.908893
Belize,BLZ,15.83648
Benin,BEN,2.5118988
Bhutan,BTN,4.6388083
Bolivia,BOL,9.588935
Bosnia and Herzegovina,BIH,6.6266165
Botswana,BWA,8.138576
Brazil,BRA,10.0310755
British Virgin Islands,VGB,5.814985
Brunei,BRN,38.624077
Bulgaria,BGR,7.4534483
Burkina Faso,BFA,2.1406453
Burundi,BDI,0.77126765
Cambodia,KHM,4.8384843
Cameroon,CMR,2.4738226
Canada,CAN,20.372282
Cape Verde,CPV,1.4226719
Central African Rep.,CAF,4.9344907
Chad,TCD,6.7791166
Chile,CHL,6.3613267
China,CHN,9.61547
Colombia,COL,5.810027
Comoros,COM,1.1983283
Congo,COG,6.700668
Cook Islands,COK,5.2449493
Costa Rica,CRI,2.793394
C�te d'Ivoire,CIV,3.389505
Croatia,HRV,5.3483243
Cuba,CUB,3.2997684
Cyprus,CYP,6.7456036
Czechia,CZE,9.602784
Dem. Rep. Congo,COD,5.6817393
Denmark,DNK,7.60971
Djibouti,DJI,1.7064061
Dominica,DMA,2.8169975
Dominican Republic,DOM,3.952497
East Timor,TLS,7.098874
Ecuador,ECU,4.7346253
Egypt,EGY,3.1609464
El Salvador,SLV,1.4170859
Equatorial Guinea,GNQ,11.27898
Eritrea,ERI,2.8311672
Estonia,EST,11.848085
Eswatini,SWZ,2.1899605
Ethiopia,ETH,2.4843411
Fiji,FJI,2.6117563
Finland,FIN,14.360663
France,FRA,6.0557623
Gabon,GAB,10.546188
Gambia,GMB,1.4793785
Georgia,GEO,2.831396
Germany,DEU,8.943109
Ghana,GHA,1.4885124
Greece,GRC,5.7179317
Greenland,GRL,0
Grenada,GRD,2.852824
